MatrixSizes = [20, 50, 100,200]
similarityLow = [0.3, 0.4, 0.5, 0.6, 0.7, 0.8]
similarityHigh = [0.7, 0.8, 0.9]
similarityThreshHolds = [0.7, 0.8, 0.9]

random.seed(0)
sampleSize = 1000

result:
Precision@0.9=0.9915,Recall-Score@0.9=1006,

M=200,s_low=0.5,s_high=0.7:
Precision@0.7=0.9975,Recall-Score@0.7=1019,
Precision@0.8=0.9975,Recall-Score@0.8=1019,
Precision@0.9=0.99,Recall-Score@0.9=1004,

M=200,s_low=0.5,s_high=0.8:
Precision@0.7=0.998,Recall-Score@0.7=1019,
Precision@0.8=0.998,Recall-Score@0.8=1019,
Precision@0.9=0.991,Recall-Score@0.9=1005,

M=200,s_low=0.5,s_high=0.9:
Precision@0.7=0.9986666666666666,Recall-Score@0.7=1019,
Precision@0.8=0.9986666666666666,Recall-Score@0.8=1019,
Precision@0.9=0.9913333333333334,Recall-Score@0.9=1004,

M=200,s_low=0.6,s_high=0.7:
Precision@0.7=0.999,Recall-Score@0.7=1019,
Precision@0.8=0.999,Recall-Score@0.8=1019,
Precision@0.9=0.9915,Recall-Score@0.9=1004,

M=200,s_low=0.6,s_high=0.8:
Precision@0.7=1.0,Recall-Score@0.7=1019,
Precision@0.8=1.0,Recall-Score@0.8=1019,
Precision@0.9=0.992,Recall-Score@0.9=1003,

M=200,s_low=0.6,s_high=0.9:
Precision@0.7=0.9995,Recall-Score@0.7=1019,
Precision@0.8=0.9995,Recall-Score@0.8=1019,
Precision@0.9=0.992,Recall-Score@0.9=1004,

M=200,s_low=0.7,s_high=0.8:
Precision@0.7=1.0,Recall-Score@0.7=1019,
Precision@0.8=1.0,Recall-Score@0.8=1019,
Precision@0.9=0.993,Recall-Score@0.9=1005,

M=200,s_low=0.7,s_high=0.9:
Precision@0.7=0.9995,Recall-Score@0.7=841,
Precision@0.8=0.9995,Recall-Score@0.8=841,
Precision@0.9=0.996,Recall-Score@0.9=834,

M=200,s_low=0.8,s_high=0.9:
Precision@0.7=0.9995,Recall-Score@0.7=819,
Precision@0.8=0.9995,Recall-Score@0.8=819,
Precision@0.9=0.995,Recall-Score@0.9=810,
