
MatrixSizes = [30,35,40,45]
similarityLow = [0.3, 0.4, 0.5, 0.6, 0.7, 0.8]
similarityHigh = [0.7, 0.8, 0.9]
similarityThreshHolds = [0.7, 0.8, 0.9]

random.seed(0)
sampleSize = 1000

result:
Precision@0.9=0.994,Recall-Score@0.9=977,

M=40,s_low=0.6,s_high=0.7:
Precision@0.7=0.9985,Recall-Score@0.7=1019,
Precision@0.8=0.9985,Recall-Score@0.8=1019,
Precision@0.9=0.9905,Recall-Score@0.9=1003,

M=40,s_low=0.6,s_high=0.8:
Precision@0.7=1.0,Recall-Score@0.7=964,
Precision@0.8=1.0,Recall-Score@0.8=964,
Precision@0.9=0.9945,Recall-Score@0.9=953,

M=40,s_low=0.6,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=981,
Precision@0.8=1.0,Recall-Score@0.8=981,
Precision@0.9=0.9935,Recall-Score@0.9=968,

M=40,s_low=0.7,s_high=0.8:
Precision@0.7=1.0,Recall-Score@0.7=985,
Precision@0.8=1.0,Recall-Score@0.8=985,
Precision@0.9=0.993,Recall-Score@0.9=971,

M=40,s_low=0.7,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=879,
Precision@0.8=1.0,Recall-Score@0.8=879,
Precision@0.9=0.994,Recall-Score@0.9=867,

M=40,s_low=0.8,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=896,
Precision@0.8=1.0,Recall-Score@0.8=896,
Precision@0.9=0.994,Recall-Score@0.9=884,

M=45,s_low=0.3,s_high=0.7:
Precision@0.7=0.998,Recall-Score@0.7=1019,
Precision@0.8=0.998,Recall-Score@0.8=1019,
Precision@0.9=0.991,Recall-Score@0.9=1005,

M=45,s_low=0.3,s_high=0.8:
Precision@0.7=1.0,Recall-Score@0.7=1019,
Precision@0.8=1.0,Recall-Score@0.8=1019,
Precision@0.9=0.9935,Recall-Score@0.9=1006,

M=45,s_low=0.3,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=1019,
Precision@0.8=1.0,Recall-Score@0.8=1019,
Precision@0.9=0.9935,Recall-Score@0.9=1006,

M=45,s_low=0.4,s_high=0.7:
Precision@0.7=1.0,Recall-Score@0.7=1019,
Precision@0.8=1.0,Recall-Score@0.8=1019,
Precision@0.9=0.993,Recall-Score@0.9=1005,

M=45,s_low=0.4,s_high=0.8:
Precision@0.7=0.999,Recall-Score@0.7=1019,
Precision@0.8=0.999,Recall-Score@0.8=1019,
Precision@0.9=0.992,Recall-Score@0.9=1005,

M=45,s_low=0.4,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=950,
Precision@0.8=1.0,Recall-Score@0.8=950,
Precision@0.9=0.993,Recall-Score@0.9=936,

M=45,s_low=0.5,s_high=0.7:
Precision@0.7=1.0,Recall-Score@0.7=1019,
Precision@0.8=1.0,Recall-Score@0.8=1019,
Precision@0.9=0.9935,Recall-Score@0.9=1006,

M=45,s_low=0.5,s_high=0.8:
Precision@0.7=0.9995,Recall-Score@0.7=1019,
Precision@0.8=0.9995,Recall-Score@0.8=1019,
Precision@0.9=0.992,Recall-Score@0.9=1004,

M=45,s_low=0.5,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=969,
Precision@0.8=1.0,Recall-Score@0.8=969,
Precision@0.9=0.9925,Recall-Score@0.9=954,

M=45,s_low=0.6,s_high=0.7:
Precision@0.7=1.0,Recall-Score@0.7=1019,
Precision@0.8=1.0,Recall-Score@0.8=1019,
Precision@0.9=0.992,Recall-Score@0.9=1003,

M=45,s_low=0.6,s_high=0.8:
Precision@0.7=1.0,Recall-Score@0.7=961,
Precision@0.8=1.0,Recall-Score@0.8=961,
Precision@0.9=0.994,Recall-Score@0.9=949,

M=45,s_low=0.6,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=959,
Precision@0.8=1.0,Recall-Score@0.8=959,
Precision@0.9=0.994,Recall-Score@0.9=947,

M=45,s_low=0.7,s_high=0.8:
Precision@0.7=0.9995,Recall-Score@0.7=961,
Precision@0.8=0.9995,Recall-Score@0.8=961,
Precision@0.9=0.9945,Recall-Score@0.9=951,

M=45,s_low=0.7,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=959,
Precision@0.8=1.0,Recall-Score@0.8=959,
Precision@0.9=0.9925,Recall-Score@0.9=944,

M=45,s_low=0.8,s_high=0.9:
Precision@0.7=1.0,Recall-Score@0.7=949,
Precision@0.8=1.0,Recall-Score@0.8=949,
Precision@0.9=0.9935,Recall-Score@0.9=936,
